subject	f0	VOT	Response_100	pred
5d23460ad4c57900192b129c	1	1	0	2.61181579379148
5d23460ad4c57900192b129c	1	1	0	2.61181579379148
5d23460ad4c57900192b129c	1	1	0	2.61181579379148
5d23460ad4c57900192b129c	2	1	0	2.61181580233583
5d23460ad4c57900192b129c	2	1	0	2.61181580233583
5d23460ad4c57900192b129c	2	1	0	2.61181580233583
5d23460ad4c57900192b129c	3	1	0	2.6118158377723
5d23460ad4c57900192b129c	3	1	0	2.6118158377723
5d23460ad4c57900192b129c	3	1	0	2.6118158377723
5d23460ad4c57900192b129c	4	1	33.3333333333333	2.6118159847401
5d23460ad4c57900192b129c	4	1	33.3333333333333	2.6118159847401
5d23460ad4c57900192b129c	4	1	33.3333333333333	2.6118159847401
5d23460ad4c57900192b129c	5	1	0	2.61181659426844
5d23460ad4c57900192b129c	5	1	0	2.61181659426844
5d23460ad4c57900192b129c	5	1	0	2.61181659426844
5d23460ad4c57900192b129c	6	1	0	2.6118191222016
5d23460ad4c57900192b129c	6	1	0	2.6118191222016
5d23460ad4c57900192b129c	6	1	0	2.6118191222016
5d23460ad4c57900192b129c	7	1	0	2.61182960644817
5d23460ad4c57900192b129c	7	1	0	2.61182960644817
5d23460ad4c57900192b129c	7	1	0	2.61182960644817
5d23460ad4c57900192b129c	8	1	0	2.6118730883624
5d23460ad4c57900192b129c	8	1	0	2.6118730883624
5d23460ad4c57900192b129c	8	1	0	2.6118730883624
5d23460ad4c57900192b129c	9	1	33.3333333333333	2.61205342302817
5d23460ad4c57900192b129c	9	1	33.3333333333333	2.61205342302817
5d23460ad4c57900192b129c	9	1	33.3333333333333	2.61205342302817
5d23460ad4c57900192b129c	1	2	0	2.61181602475362
5d23460ad4c57900192b129c	1	2	0	2.61181602475362
5d23460ad4c57900192b129c	1	2	0	2.61181602475362
5d23460ad4c57900192b129c	2	2	0	2.6118167602189
5d23460ad4c57900192b129c	2	2	0	2.6118167602189
5d23460ad4c57900192b129c	2	2	0	2.6118167602189
5d23460ad4c57900192b129c	3	2	0	2.61181981045782
5d23460ad4c57900192b129c	3	2	0	2.61181981045782
5d23460ad4c57900192b129c	3	2	0	2.61181981045782
5d23460ad4c57900192b129c	4	2	0	2.6118324608935
5d23460ad4c57900192b129c	4	2	0	2.6118324608935
5d23460ad4c57900192b129c	4	2	0	2.6118324608935
5d23460ad4c57900192b129c	5	2	0	2.61188492676064
5d23460ad4c57900192b129c	5	2	0	2.61188492676064
5d23460ad4c57900192b129c	5	2	0	2.61188492676064
5d23460ad4c57900192b129c	6	2	0	2.61210252089493
5d23460ad4c57900192b129c	6	2	0	2.61210252089493
5d23460ad4c57900192b129c	6	2	0	2.61210252089493
5d23460ad4c57900192b129c	7	2	0	2.61300495018687
5d23460ad4c57900192b129c	7	2	0	2.61300495018687
5d23460ad4c57900192b129c	7	2	0	2.61300495018687
5d23460ad4c57900192b129c	8	2	0	2.61674744520019
5d23460ad4c57900192b129c	8	2	0	2.61674744520019
5d23460ad4c57900192b129c	8	2	0	2.61674744520019
5d23460ad4c57900192b129c	9	2	0	2.63226541234974
5d23460ad4c57900192b129c	9	2	0	2.63226541234974
5d23460ad4c57900192b129c	9	2	0	2.63226541234974
5d23460ad4c57900192b129c	1	3	0	2.61183590510627
5d23460ad4c57900192b129c	1	3	0	2.61183590510627
5d23460ad4c57900192b129c	1	3	0	2.61183590510627
5d23460ad4c57900192b129c	2	3	0	2.61189921113053
5d23460ad4c57900192b129c	2	3	0	2.61189921113053
5d23460ad4c57900192b129c	2	3	0	2.61189921113053
5d23460ad4c57900192b129c	3	3	0	2.61216176298146
5d23460ad4c57900192b129c	3	3	0	2.61216176298146
5d23460ad4c57900192b129c	3	3	0	2.61216176298146
5d23460ad4c57900192b129c	4	3	0.333333333333333	2.61325064269195
5d23460ad4c57900192b129c	4	3	0.333333333333333	2.61325064269195
5d23460ad4c57900192b129c	4	3	0.333333333333333	2.61325064269195
5d23460ad4c57900192b129c	5	3	33.3333333333333	2.61776632171495
5d23460ad4c57900192b129c	5	3	33.3333333333333	2.61776632171495
5d23460ad4c57900192b129c	5	3	33.3333333333333	2.61776632171495
5d23460ad4c57900192b129c	6	3	0	2.63648936301433
5d23460ad4c57900192b129c	6	3	0	2.63648936301433
5d23460ad4c57900192b129c	6	3	0	2.63648936301433
5d23460ad4c57900192b129c	7	3	0	2.71405286320594
5d23460ad4c57900192b129c	7	3	0	2.71405286320594
5d23460ad4c57900192b129c	7	3	0	2.71405286320594
5d23460ad4c57900192b129c	8	3	0	3.03423569892789
5d23460ad4c57900192b129c	8	3	0	3.03423569892789
5d23460ad4c57900192b129c	8	3	0	3.03423569892789
5d23460ad4c57900192b129c	9	3	0	4.33684766011716
5d23460ad4c57900192b129c	9	3	0	4.33684766011716
5d23460ad4c57900192b129c	9	3	0	4.33684766011716
5d23460ad4c57900192b129c	1	4	0	2.61354709676536
5d23460ad4c57900192b129c	1	4	0	2.61354709676536
5d23460ad4c57900192b129c	1	4	0	2.61354709676536
5d23460ad4c57900192b129c	2	4	0	2.61899567972602
5d23460ad4c57900192b129c	2	4	0	2.61899567972602
5d23460ad4c57900192b129c	2	4	0	2.61899567972602
5d23460ad4c57900192b129c	3	4	0	2.64158548283591
5d23460ad4c57900192b129c	3	4	0	2.64158548283591
5d23460ad4c57900192b129c	3	4	0	2.64158548283591
5d23460ad4c57900192b129c	4	4	0	2.73514589831872
5d23460ad4c57900192b129c	4	4	0	2.73514589831872
