subject	f0	VOT	Response_100	pred
5d23460ad4c57900192b129c	4	2	0	2.12997122426293
5d23460ad4c57900192b129c	4	2	0	2.12997122426293
5d23460ad4c57900192b129c	4	2	0	2.12997122426293
5d23460ad4c57900192b129c	5	2	0	2.13003147059584
5d23460ad4c57900192b129c	5	2	0	2.13003147059584
5d23460ad4c57900192b129c	5	2	0	2.13003147059584
5d23460ad4c57900192b129c	6	2	0	2.13015839042763
5d23460ad4c57900192b129c	6	2	0	2.13015839042763
5d23460ad4c57900192b129c	6	2	0	2.13015839042763
5d23460ad4c57900192b129c	7	2	0	2.13042576951388
5d23460ad4c57900192b129c	7	2	0	2.13042576951388
5d23460ad4c57900192b129c	7	2	0	2.13042576951388
5d23460ad4c57900192b129c	8	2	0	2.13098904835255
5d23460ad4c57900192b129c	8	2	0	2.13098904835255
5d23460ad4c57900192b129c	8	2	0	2.13098904835255
5d23460ad4c57900192b129c	9	2	0	2.132175678391
5d23460ad4c57900192b129c	9	2	0	2.132175678391
5d23460ad4c57900192b129c	9	2	0	2.132175678391
5d23460ad4c57900192b129c	1	3	0	2.13020827717297
5d23460ad4c57900192b129c	1	3	0	2.13020827717297
5d23460ad4c57900192b129c	1	3	0	2.13020827717297
5d23460ad4c57900192b129c	2	3	0	2.13053086456009
5d23460ad4c57900192b129c	2	3	0	2.13053086456009
5d23460ad4c57900192b129c	2	3	0	2.13053086456009
5d23460ad4c57900192b129c	3	3	0	2.13121044773671
5d23460ad4c57900192b129c	3	3	0	2.13121044773671
5d23460ad4c57900192b129c	3	3	0	2.13121044773671
5d23460ad4c57900192b129c	4	3	0	2.13264208472349
5d23460ad4c57900192b129c	4	3	0	2.13264208472349
5d23460ad4c57900192b129c	4	3	0	2.13264208472349
5d23460ad4c57900192b129c	5	3	0	2.13565795587105
5d23460ad4c57900192b129c	5	3	0	2.13565795587105
5d23460ad4c57900192b129c	5	3	0	2.13565795587105
5d23460ad4c57900192b129c	6	3	0	2.14201083669077
5d23460ad4c57900192b129c	6	3	0	2.14201083669077
5d23460ad4c57900192b129c	6	3	0	2.14201083669077
5d23460ad4c57900192b129c	7	3	0	2.15539164669521
5d23460ad4c57900192b129c	7	3	0	2.15539164669521
5d23460ad4c57900192b129c	7	3	0	2.15539164669521
