subject	f0	VOT	Response_100	pred
13739828	1	1	2.33333333333333	12.6423160099965
13739828	1	1	2.33333333333333	12.6423160099965
13739828	1	1	2.33333333333333	12.6423160099965
13739828	2	1	33	12.760729769844
13739828	2	1	33	12.760729769844
13739828	2	1	33	12.760729769844
13739828	3	1	0	12.9001014768032
13739828	3	1	0	12.9001014768032
13739828	3	1	0	12.9001014768032
13739828	4	1	32.6666666666667	13.0640539139364
13739828	4	1	32.6666666666667	13.0640539139364
13739828	4	1	32.6666666666667	13.0640539139364
13739828	5	1	32.3333333333333	13.2568026481185
13739828	5	1	32.3333333333333	13.2568026481185
13739828	5	1	32.3333333333333	13.2568026481185
13739828	6	1	2	13.4832400993922
13739828	6	1	2	13.4832400993922
13739828	6	1	2	13.4832400993922
13739828	7	1	33.3333333333333	13.7490264514177
13739828	7	1	33.3333333333333	13.7490264514177
13739828	7	1	33.3333333333333	13.7490264514177
13739828	8	1	31	14.0606857764747
13739828	8	1	31	14.0606857764747
13739828	8	1	31	14.0606857764747
13739828	9	1	33.3333333333333	14.4257045761168
13739828	9	1	33.3333333333333	14.4257045761168
13739828	9	1	33.3333333333333	14.4257045761168
13739828	1	2	0	13.9128758916552
13739828	1	2	0	13.9128758916552
13739828	1	2	0	13.9128758916552
13739828	2	2	0	14.2526459600574
13739828	2	2	0	14.2526459600574
13739828	2	2	0	14.2526459600574
13739828	3	2	0	14.6502993427601
13739828	3	2	0	14.6502993427601
13739828	3	2	0	14.6502993427601
13739828	4	2	1.66666666666667	15.114997169343
13739828	4	2	1.66666666666667	15.114997169343
13739828	4	2	1.66666666666667	15.114997169343
13739828	5	2	1.33333333333333	15.6570890430121
13739828	5	2	1.33333333333333	15.6570890430121
13739828	5	2	1.33333333333333	15.6570890430121
13739828	6	2	0.333333333333333	16.288168998065
13739828	6	2	0.333333333333333	16.288168998065
13739828	6	2	0.333333333333333	16.288168998065
13739828	7	2	1	17.0210931905015
13739828	7	2	1	17.0210931905015
13739828	7	2	1	17.0210931905015
13739828	8	2	0	17.86994097568
13739828	8	2	0	17.86994097568
13739828	8	2	0	17.86994097568
13739828	9	2	66.6666666666667	18.8498969432941
13739828	9	2	66.6666666666667	18.8498969432941
13739828	9	2	66.6666666666667	18.8498969432941
13739828	1	3	0.666666666666667	17.4687700137811
13739828	1	3	0.666666666666667	17.4687700137811
13739828	1	3	0.666666666666667	17.4687700137811
13739828	2	3	24.3333333333333	18.3871838103372
13739828	2	3	24.3333333333333	18.3871838103372
13739828	2	3	24.3333333333333	18.3871838103372
13739828	3	3	0	19.4453791798631
13739828	3	3	0	19.4453791798631
13739828	3	3	0	19.4453791798631
13739828	4	3	0	20.6597635796943
13739828	4	3	0	20.6597635796943
13739828	4	3	0	20.6597635796943
13739828	5	3	33.3333333333333	22.0470098146456
13739828	5	3	33.3333333333333	22.0470098146456
13739828	5	3	33.3333333333333	22.0470098146456
13739828	6	3	33.3333333333333	23.6234410739651
13739828	6	3	33.3333333333333	23.6234410739651
13739828	6	3	33.3333333333333	23.6234410739651
13739828	7	3	33.3333333333333	25.404224797646
13739828	7	3	33.3333333333333	25.404224797646
13739828	7	3	33.3333333333333	25.404224797646
13739828	8	3	5	27.402374211843
13739828	8	3	5	27.402374211843
13739828	8	3	5	27.402374211843
13739828	9	3	0	29.6275810377241
13739828	9	3	0	29.6275810377241
13739828	9	3	0	29.6275810377241
13739828	1	4	33.3333333333333	26.4664339523445
13739828	1	4	33.3333333333333	26.4664339523445
13739828	1	4	33.3333333333333	26.4664339523445
13739828	2	4	100	28.5874909644341
13739828	2	4	100	28.5874909644341
13739828	2	4	100	28.5874909644341
13739828	3	4	33.6666666666667	30.9390362815129
13739828	3	4	33.6666666666667	30.9390362815129
13739828	3	4	33.6666666666667	30.9390362815129
13739828	4	4	1.33333333333333	33.5231014139967
13739828	4	4	1.33333333333333	33.5231014139967
13739828	4	4	1.33333333333333	33.5231014139967
13739828	5	4	66.6666666666667	36.3351558603117
13739828	5	4	66.6666666666667	36.3351558603117
13739828	5	4	66.6666666666667	36.3351558603117
13739828	6	4	66.6666666666667	39.3630656785557
13739828	6	4	66.6666666666667	39.3630656785557
13739828	6	4	66.6666666666667	39.3630656785557
13739828	7	4	33.6666666666667	42.58643386275
13739828	7	4	33.6666666666667	42.58643386275
13739828	7	4	33.6666666666667	42.58643386275
13739828	8	4	66.6666666666667	45.9764902009561
13739828	8	4	66.6666666666667	45.9764902009561
13739828	8	4	66.6666666666667	45.9764902009561
13739828	9	4	66.6666666666667	49.4966562199761
13739828	9	4	66.6666666666667	49.4966562199761
13739828	9	4	66.6666666666667	49.4966562199761
13739828	1	5	1.66666666666667	44.417001320391
13739828	1	5	1.66666666666667	44.417001320391
13739828	1	5	1.66666666666667	44.417001320391
13739828	2	5	32.6666666666667	47.8830137027887
13739828	2	5	32.6666666666667	47.8830137027887
13739828	2	5	32.6666666666667	47.8830137027887
13739828	3	5	66.6666666666667	51.4563253682542
13739828	3	5	66.6666666666667	51.4563253682542
13739828	3	5	66.6666666666667	51.4563253682542
13739828	4	5	66.6666666666667	55.0910658081427
13739828	4	5	66.6666666666667	55.0910658081427
13739828	4	5	66.6666666666667	55.0910658081427
13739828	5	5	33.6666666666667	58.7380841240204
13739828	5	5	33.6666666666667	58.7380841240204
13739828	5	5	33.6666666666667	58.7380841240204
13739828	6	5	33.3333333333333	62.3475637982711
13739828	6	5	33.3333333333333	62.3475637982711
13739828	6	5	33.3333333333333	62.3475637982711
13739828	7	5	66.6666666666667	65.8717129545127
13739828	7	5	66.6666666666667	65.8717129545127
13739828	7	5	66.6666666666667	65.8717129545127
13739828	8	5	66.6666666666667	69.2672265583844
13739828	8	5	66.6666666666667	69.2672265583844
13739828	8	5	66.6666666666667	69.2672265583844
13739828	9	5	66	72.4972601247899
13739828	9	5	66	72.4972601247899
13739828	9	5	66	72.4972601247899
13739828	1	6	65	67.7422232048082
13739828	1	6	65	67.7422232048082
13739828	1	6	65	67.7422232048082
13739828	2	6	66.6666666666667	71.0515707935246
13739828	2	6	66.6666666666667	71.0515707935246
13739828	2	6	66.6666666666667	71.0515707935246
13739828	3	6	100	74.1785639363978
13739828	3	6	100	74.1785639363978
13739828	3	6	100	74.1785639363978
13739828	4	6	52	77.0986667156238
13739828	4	6	52	77.0986667156238
13739828	4	6	52	77.0986667156238
13739828	5	6	100	79.7957382751134
13739828	5	6	100	79.7957382751134
13739828	5	6	100	79.7957382751134
13739828	6	6	100	82.2616238749309
13739828	6	6	100	82.2616238749309
13739828	6	6	100	82.2616238749309
13739828	7	6	59.6666666666667	84.4952788798275
13739828	7	6	59.6666666666667	84.4952788798275
13739828	7	6	59.6666666666667	84.4952788798275
13739828	8	6	66.6666666666667	86.5016007505375
13739828	8	6	66.6666666666667	86.5016007505375
13739828	8	6	66.6666666666667	86.5016007505375
13739828	9	6	97	88.2901356476525
13739828	9	6	97	88.2901356476525
13739828	9	6	97	88.2901356476525
13739828	1	7	96.6666666666667	85.6172675589916
13739828	1	7	96.6666666666667	85.6172675589916
13739828	1	7	96.6666666666667	85.6172675589916
13739828	2	7	100	87.5033728949541
13739828	2	7	100	87.5033728949541
13739828	2	7	100	87.5033728949541
13739828	3	7	100	89.1783954183698
13739828	3	7	100	89.1783954183698
13739828	3	7	100	89.1783954183698
13739828	4	7	99.3333333333333	90.656580571381
13739828	4	7	99.3333333333333	90.656580571381
13739828	4	7	99.3333333333333	90.656580571381
13739828	5	7	99	91.9537967349595
13739828	5	7	99	91.9537967349595
13739828	5	7	99	91.9537967349595
13739828	6	7	100	93.0866334484062
13739828	6	7	100	93.0866334484062
13739828	6	7	100	93.0866334484062
13739828	7	7	100	94.0716938812988
13739828	7	7	100	94.0716938812988
13739828	7	7	100	94.0716938812988
13739828	8	7	65.6666666666667	94.9250712767703
13739828	8	7	65.6666666666667	94.9250712767703
13739828	8	7	65.6666666666667	94.9250712767703
13739828	9	7	98.3333333333333	95.6619872114448
13739828	9	7	98.3333333333333	95.6619872114448
13739828	9	7	98.3333333333333	95.6619872114448
13739847	1	1	0.333333333333333	9.80315118290105
13739847	1	1	0.333333333333333	9.80315118290105
13739847	1	1	0.333333333333333	9.80315118290105
13739847	2	1	5	9.81089426010699
13739847	2	1	5	9.81089426010699
13739847	2	1	5	9.81089426010699
13739847	3	1	5.66666666666667	9.82593201231366
13739847	3	1	5.66666666666667	9.82593201231366
13739847	3	1	5.66666666666667	9.82593201231366
13739847	4	1	5.66666666666667	9.85512963419966
13739847	4	1	5.66666666666667	9.85512963419966
13739847	4	1	5.66666666666667	9.85512963419966
13739847	5	1	0	9.91179381551635
13739847	5	1	0	9.91179381551635
13739847	5	1	0	9.91179381551635
13739847	6	1	4.66666666666667	10.0216627895305
13739847	6	1	4.66666666666667	10.0216627895305
13739847	6	1	4.66666666666667	10.0216627895305
13739847	7	1	0	10.2343182632847
13739847	7	1	0	10.2343182632847
13739847	7	1	0	10.2343182632847
13739847	8	1	33.3333333333333	10.6445211240026
13739847	8	1	33.3333333333333	10.6445211240026
13739847	8	1	33.3333333333333	10.6445211240026
13739847	9	1	12.6666666666667	11.430609999044
13739847	9	1	12.6666666666667	11.430609999044
13739847	9	1	12.6666666666667	11.430609999044
13739847	1	2	25.6666666666667	9.86834563409203
13739847	1	2	25.6666666666667	9.86834563409203
13739847	1	2	25.6666666666667	9.86834563409203
13739847	2	2	6.66666666666667	9.93743075356244
13739847	2	2	6.66666666666667	9.93743075356244
13739847	2	2	6.66666666666667	9.93743075356244
13739847	3	2	6.66666666666667	10.0713282417199
13739847	3	2	6.66666666666667	10.0713282417199
13739847	3	2	6.66666666666667	10.0713282417199
13739847	4	2	7	10.3302856120976
13739847	4	2	7	10.3302856120976
13739847	4	2	7	10.3302856120976
13739847	5	2	26.6666666666667	10.8290360655835
13739847	5	2	26.6666666666667	10.8290360655835
13739847	5	2	26.6666666666667	10.8290360655835
13739847	6	2	0	11.7820002877144
13739847	6	2	0	11.7820002877144
13739847	7	2	6.66666666666667	13.5754093832557
13739847	7	2	6.66666666666667	13.5754093832557
13739847	7	2	6.66666666666667	13.5754093832557
13739847	8	2	9	16.8560685696601
13739847	8	2	9	16.8560685696601
13739847	8	2	9	16.8560685696601
13739847	9	2	0	22.5572232196602
13739847	9	2	0	22.5572232196602
13739847	9	2	0	22.5572232196602
13739847	1	3	0	10.4470591771708
13739847	1	3	0	10.4470591771708
13739847	1	3	0	10.4470591771708
13739847	2	3	3.33333333333333	11.0530523130699
13739847	2	3	3.33333333333333	11.0530523130699
13739847	2	3	3.33333333333333	11.0530523130699
13739847	3	3	25	12.2067949780466
13739847	3	3	25	12.2067949780466
13739847	3	3	25	12.2067949780466
13739847	4	3	33.3333333333333	14.3634654862947
13739847	4	3	33.3333333333333	14.3634654862947
13739847	4	3	33.3333333333333	14.3634654862947
13739847	5	3	28.3333333333333	18.2600488092596
13739847	5	3	28.3333333333333	18.2600488092596
13739847	5	3	28.3333333333333	18.2600488092596
13739847	6	3	89	24.8859606902793
13739847	6	3	89	24.8859606902793
13739847	7	3	53.6666666666667	35.0701777507394
13739847	7	3	53.6666666666667	35.0701777507394
13739847	7	3	53.6666666666667	35.0701777507394
13739847	8	3	33.6666666666667	48.5249338654922
13739847	8	3	33.6666666666667	48.5249338654922
13739847	8	3	33.6666666666667	48.5249338654922
13739847	9	3	49	63.1443307585232
13739847	9	3	49	63.1443307585232
13739847	9	3	49	63.1443307585232
13739847	1	4	0	15.3051714527558
13739847	1	4	0	15.3051714527558
13739847	1	4	0	15.3051714527558
13739847	2	4	50	19.9087222041248
13739847	2	4	50	19.9087222041248
13739847	3	4	25	27.5406933696151
13739847	3	4	25	27.5406933696151
13739847	3	4	25	27.5406933696151
13739847	4	4	44	38.8129160272727
13739847	4	4	44	38.8129160272727
13739847	4	4	44	38.8129160272727
13739847	5	4	33.3333333333333	52.9116500610602
13739847	5	4	33.3333333333333	52.9116500610602
13739847	5	4	33.3333333333333	52.9116500610602
13739847	6	4	83	67.2923799303543
13739847	6	4	83	67.2923799303543
13739847	7	4	91.6666666666667	79.210626767199
13739847	7	4	91.6666666666667	79.210626767199
13739847	7	4	91.6666666666667	79.210626767199
13739847	8	4	95	87.5023703360529
13739847	8	4	95	87.5023703360529
13739847	8	4	95	87.5023703360529
13739847	9	4	100	92.5937037992691
13739847	9	4	100	92.5937037992691
13739847	9	4	100	92.5937037992691
13739847	1	5	0	42.8225590055481
13739847	1	5	0	42.8225590055481
13739847	1	5	0	42.8225590055481
13739847	2	5	87.5	57.3252951554543
13739847	2	5	87.5	57.3252951554543
13739847	3	5	79.3333333333333	71.2071224908182
13739847	3	5	79.3333333333333	71.2071224908182
13739847	3	5	79.3333333333333	71.2071224908182
13739847	4	5	57	82.0740808211972
13739847	4	5	57	82.0740808211972
13739847	5	5	79	89.3178606388379
13739847	6	5	92.6666666666667	93.6436786681216
13739847	6	5	92.6666666666667	93.6436786681216
