Participant Private ID	Display	Response	rand	Response Type	trial	ProlificID	prob_p
13746264	Neutral 11	71	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	29
13746264	Neutral 11	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 12	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 12	70	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	30
13746264	Neutral 13	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 13	35	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	65
13746264	Neutral 14	30	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	70
13746264	Neutral 14	20	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	80
13746264	Neutral 15	40	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	60
13746264	Neutral 15	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 16	10	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	90
13746264	Neutral 16	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 17	55	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	45
13746264	Neutral 17	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 18	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 18	60	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	40
13746264	Neutral 19	55	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	45
13746264	Neutral 19	30	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	70
13746264	Neutral 20	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 20	10	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	90
13746264	Neutral 21	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 21	40	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	60
13746264	Neutral 22	55	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	45
13746264	Neutral 22	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 23	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 23	50	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	50
13746264	Neutral 24	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 24	60	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	40
13746264	Neutral 25	0	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	100
13746264	Neutral 25	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 26	55	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	45
13746264	Neutral 26	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 27	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 27	10	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	90
13746264	Neutral 28	20	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	80
13746264	Neutral 28	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 29	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13746264	Neutral 29	0	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	100
13746264	Neutral 30	55	pier_beer	tooEarly	highf0	676d800c5499f924389756b5	45
13746264	Neutral 30	100	pier_beer	tooEarly	lowf0	676d800c5499f924389756b5	0
13739905	Neutral 1	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 1	2	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	98
13739905	Neutral 2	2	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	98
13739905	Neutral 2	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 3	99	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	1
13739905	Neutral 3	2	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	98
13739905	Neutral 4	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 4	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 5	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 5	98	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	2
13739905	Neutral 6	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 6	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 7	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 7	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 8	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 8	1	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	99
13739905	Neutral 9	99	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	1
13739905	Neutral 9	1	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	99
13739905	Neutral 10	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 10	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 11	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 11	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 12	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 12	99	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	1
13739905	Neutral 13	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 13	1	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	99
13739905	Neutral 14	1	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	99
13739905	Neutral 14	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 15	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 15	1	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	99
13739905	Neutral 16	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 16	99	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	1
13739905	Neutral 17	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 17	3	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	97
13739905	Neutral 18	100	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	0
13739905	Neutral 18	98	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	2
13739905	Neutral 19	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 19	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 20	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 20	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 21	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 21	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 22	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 22	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 23	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 23	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 24	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 24	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 25	100	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	0
13739905	Neutral 25	99	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	1
13739905	Neutral 26	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 26	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 27	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 27	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 28	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 28	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 29	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739905	Neutral 29	0	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	100
13739905	Neutral 30	100	pier_beer	tooEarly	lowf0	67055b370e3c0c4965a03128	0
13739905	Neutral 30	0	pier_beer	tooEarly	highf0	67055b370e3c0c4965a03128	100
13739892	Neutral 1	93	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	93
13739892	Neutral 1	19	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	19
13739892	Neutral 2	49	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	49
13739892	Neutral 2	72	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	72
13739892	Neutral 3	49	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	49
13739892	Neutral 3	21	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	21
13739892	Neutral 4	84	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	84
13739892	Neutral 4	88	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	88
13739892	Neutral 5	12	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	12
13739892	Neutral 5	77	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	77
13739892	Neutral 6	88	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	88
13739892	Neutral 6	8	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	8
13739892	Neutral 7	15	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	15
13739892	Neutral 7	87	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	87
13739892	Neutral 8	24	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	24
13739892	Neutral 8	26	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	26
13739892	Neutral 9	88	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	88
13739892	Neutral 9	8	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	8
13739892	Neutral 10	10	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	10
13739892	Neutral 10	11	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	11
13739892	Neutral 11	17	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	17
13739892	Neutral 11	6	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	6
13739892	Neutral 12	9	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	9
13739892	Neutral 12	21	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	21
13739892	Neutral 13	6	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	6
13739892	Neutral 13	50	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	50
